categoria,descripcion,imagen,marca,nombre,precio,sub_categoria,tipo_producto,url
tecnologia,,//home.ripley.com.pe/Attachment/WOP_3/2018188588836/2018188588836_2.jpg,,SAMSUNG BARRA DE SONIDO M360 200W - NEGRO,S/ 699,tv-video,audio-para-tv,https://simple.ripley.com.pe/tv-y-video/audio-para-tv/ver-todo-audio-para-tv?source=menu
tecnologia,,//home.ripley.com.pe/Attachment/WOP_4/2018186277589/2018186277589_2.jpg,HI-TECH,HI-TECH SOUNDBAR + WOOFER 45W,S/ 399,tv-video,audio-para-tv,https://simple.ripley.com.pe/tv-y-video/audio-para-tv/ver-todo-audio-para-tv?source=menu
tecnologia,,//home.ripley.com.pe/Attachment/WOP/2018175039808/2018175039808_2.jpg,,SAMSUNG REPRODUCTOR BLURAY MULTI-CODEC BD-J4500 - NEGRO,S/ 229,tv-video,video-y-accesorios,https://simple.ripley.com.pe/tv-y-video/video-y-accesorios/ver-todo-video-y-accesorios?source=menu
tecnologia,,//home.ripley.com.pe/Attachment/WOP/2018169233267/2018169233267_2.jpg,,SONY REPRODUCTOR BLU RAY SMART S3500 - NEGRO,S/ 399,tv-video,video-y-accesorios,https://simple.ripley.com.pe/tv-y-video/video-y-accesorios/ver-todo-video-y-accesorios?source=menu
tecnologia,,//home.ripley.com.pe/Attachment/WOP_5/2018209243980/2018209243980_2.jpg,SONY,SONY Equipo de Sonido HDMI/Bluetooth/Karaoke MHC-V81D,"S/ 2,999",tv-video,equipo-de-sonido,https://simple.ripley.com.pe/tv-y-video/equipo-de-sonido/ver-todo-equipo-de-sonido?source=menu
tecnologia,,//home.ripley.com.pe/Attachment/WOP_5/2018215750427/2018215750427_2.jpg,SAMSUNG,"SAMSUNG SMART TV FHD 40J5290 40""",,tv-video,tv,https://simple.ripley.com.pe/tv-y-video/televisores/ver-todo-tv?source=menu&page=6
tecnologia,,//home.ripley.com.pe/Attachment/WOP_5/2018215750434/2018215750434_2.jpg,SAMSUNG,"SAMSUNG SMART TV FHD 32"" J4290",,tv-video,tv,https://simple.ripley.com.pe/tv-y-video/televisores/ver-todo-tv?source=menu&page=6
tecnologia,,//home.ripley.com.pe/Attachment/WOP/2065172977466/2065172977466_2.jpg,,PIONEER PARLANTE AGUDO TIPO BALA TS-B400PRO - NEGRO,S/ 159,tv-video,car-audio,https://simple.ripley.com.pe/tv-y-video/car-audio/ver-todo-car-audio?source=menu
tecnologia,,//home.ripley.com.pe/Attachment/WOP/2065172977473/2065172977473_2.jpg,,PIONEER PARLANTES MEDIO TS-M650PRO - NEGRO,S/ 349,tv-video,car-audio,https://simple.ripley.com.pe/tv-y-video/car-audio/ver-todo-car-audio?source=menu
tecnologia,,https://imageshack.com/a/img922/5769/AIolqg.jpg,ISOUND,ISOUND AUDIFONOS BT IN-EAR BT-250 DGHP-5635 - NEGRO,S/ 149.90,tv-video,audio-portatil,https://simple.ripley.com.pe/tv-y-video/audio-portatil/ver-todo-audio-portatil?source=menu
tecnologia,,https://imageshack.com/a/img923/2897/eWVv3p.jpg,ISOUND,ISOUND BT-2600 AUDIFONOS INALAMBRICOS BLUETOOH DGHP-5620 - NEGRO,S/ 169.90,tv-video,audio-portatil,https://simple.ripley.com.pe/tv-y-video/audio-portatil/ver-todo-audio-portatil?source=menu
tecnologia,,//home.ripley.com.pe/Attachment/WOP_5/2018207898830/2018207898830_2.jpg,HISENSE,"HISENSE SMART TV UHD 55"" HLE5517RTUXIPE","S/ 2,299",tv-video,tv,https://simple.ripley.com.pe/tv-y-video/televisores/ver-todo-tv?source=menu&page=3
tecnologia,,//home.ripley.com.pe/Attachment/WOP_5/2018213746392/2018213746392_2.jpg,HAIER,"HAIER TV HD 32"" LE32K6500DA",S/ 579.95,tv-video,tv,https://simple.ripley.com.pe/tv-y-video/televisores/ver-todo-tv?source=menu&page=2
tecnologia,,//home.ripley.com.pe/Attachment/WOP_3/2018179923455/2018179923455_2.jpg,,HI-TECH BARRA DE SONIDO SB-2100 40W,S/ 199,tv-video,audio-para-tv,https://simple.ripley.com.pe/tv-y-video/audio-para-tv/ver-todo-audio-para-tv?source=menu
tecnologia,,//home.ripley.com.pe/Attachment/WOP_5/2018209199164/2018209199164_2.jpg,LG,LG BARRA DE SONIDO SK1 40W,"S/ 2,199.95",tv-video,audio-para-tv,https://simple.ripley.com.pe/tv-y-video/audio-para-tv/ver-todo-audio-para-tv?source=menu
tecnologia,,//home.ripley.com.pe/Attachment/WOP_3/2018179258120/2018179258120_2.jpg,,SONY REPRODUCTOR BLU-RAY FHD 3D BDP-S6700/B,S/ 699,tv-video,video-y-accesorios,https://simple.ripley.com.pe/tv-y-video/video-y-accesorios/ver-todo-video-y-accesorios?source=menu
tecnologia,,//home.ripley.com.pe/Attachment/WOP_3/2018190738427/2018190738427_2.jpg,SONY,SONY Equipo de Sonido DVD/Karaoke HCDSHAKEX30,"S/ 2,599",tv-video,equipo-de-sonido,https://simple.ripley.com.pe/tv-y-video/equipo-de-sonido/ver-todo-equipo-de-sonido?source=menu
tecnologia,,//home.ripley.com.pe/Attachment/WOP/2065172977480/2065172977480_2.jpg,,PIONEER PARLANTES MEDIO TS-M800PRO - NEGRO,S/ 419,tv-video,car-audio,https://simple.ripley.com.pe/tv-y-video/car-audio/ver-todo-car-audio?source=menu
tecnologia,,https://imageshack.com/a/img924/5610/s5CFmM.jpg,SAKAR,SAKAR DJ HEADPHONES STAR WARS,S/ 34.90,tv-video,audio-portatil,https://simple.ripley.com.pe/tv-y-video/audio-portatil/ver-todo-audio-portatil?source=menu
tecnologia,,https://imageshack.com/a/img924/9868/iWqNYJ.jpg,FIDDLER,FIDDLER HEADPHONE CON MICRÓFONO 1.8MT - BLANCO,S/ 34.90,tv-video,audio-portatil,https://simple.ripley.com.pe/tv-y-video/audio-portatil/ver-todo-audio-portatil?source=menu
tecnologia,,//home.ripley.com.pe/Attachment/WOP_5/2018210828381/2018210828381_2.jpg,SAMSUNG,"SAMSUNG SMART TV UHD 65"" 65NU7300","S/ 4,999",tv-video,tv,https://simple.ripley.com.pe/tv-y-video/televisores/ver-todo-tv?source=menu&page=3
tecnologia,,//home.ripley.com.pe/Attachment/WOP_5/2018212725763/2018212725763_2.jpg,SAMSUNG,"SAMSUNG SMART TV QLED 49"" QN49Q6FNAGXPE","S/ 3,999",tv-video,tv,https://simple.ripley.com.pe/tv-y-video/televisores/ver-todo-tv?source=menu&page=2
tecnologia,,//home.ripley.com.pe/Attachment/WOP_5/2018211649756/2018211649756_2.jpg,LG,LG BARRA DE SONIDO SK9Y 500W,"S/ 2,499",tv-video,audio-para-tv,https://simple.ripley.com.pe/tv-y-video/audio-para-tv/ver-todo-audio-para-tv?source=menu
tecnologia,,//home.ripley.com.pe/Attachment/WOP_4/2018195254557/2018195254557_2.jpg,SONY,SONY BARRA DE SONIDO HT-CT290 300W 2.1,S/ 999,tv-video,audio-para-tv,https://simple.ripley.com.pe/tv-y-video/audio-para-tv/ver-todo-audio-para-tv?source=menu
tecnologia,,//home.ripley.com.pe/Attachment/WOP/2065172464218/2065172464218_2.jpg,SONY,SONY PROYECTOR PORTÁTIL MP-CL1 LASER HD,No Disponible,tv-video,video-y-accesorios,https://simple.ripley.com.pe/tv-y-video/video-y-accesorios/ver-todo-video-y-accesorios?source=menu
